Years,Available Area for Marsh Encroachment,Birth Rate,Births,Carbon Dioxide Released as a function of FF Consumption,Carbon in the Atmosphere,Carbon Released into the Atmosphere,Carbon Sequestration,Conversion to High Marsh,Conversion to Low Marsh,Days Recreating[Birding],Days Recreating[Hiking],Days Recreating[Marsh Walking],Days Recreating[Marsh Driving],Days Recreating[Boat Fishing],Days Recreating[Land Fishing],Days Recreating[Clamming],Days Recreating[Pleasure Boating],Days Recreating[Marsh Work],Deaths,Delay in Action Erosion Control,Delay in Action: Flood Control,Delay in Erosion Control Implementation,Delay in Flood Control Implementation High Marsh,Delay in Flood Control Implementation Low Marsh,Erosion Control Rate,Fiddler Crab Carrying Capacity,Fiddler Crab Mortality Rate,Fiddler Crabs,Flood Mitigation Rate: High Marsh,Flood Mitigation Rate: Low Marsh,Forest Converted to High Marsh,Global Fossil Fuel Consumption,High Marsh Area,High Marsh Conversion Rate,High Marsh Erosion,High Marsh Erosion Rate,High Marsh to Upland Conversion Rate,High Sea Level Rise,Horizontal Growth Rate: Low Marsh,Human Mortality Rate,Human Population,Inundation Loss Rate: Low Marsh,Low Marsh Area,Low Marsh Conversion Rate,Low Marsh Erosion,Low Marsh Erosion Rate,Low Marsh Erosion Rate: Fiddler Crabs,Low Marsh Erosion Rate: SLR,Low Marsh Growth: Fiddlers,Low Marsh Horizontal Growth,Low Sea Level Rise,Mean Days Recreating,Medium Sea Level Rise,Mortality,Mortality Rate mediated by Low Marsh Area,Policy Demand Flood Control,Policy Demand: Erosion Control,Rate of Sea Level Rise,Recruitment,Recruitment Rate,Salt Water Inundation in Low Marsh,Scenario 1,Scenario 2,Scenario 3,Sequestration Rate,Total Marsh Area,Upland Border Decay,Upland Border Decay Rate,Upland Border Extent,Vertical Growth Rate: Low Marsh
3.5,0.885849126,0.018,0.138149896,41.51905477,3241.800763,41.51905477,22.83548012,34.5180314,2.439962466,365,12.71117007,365,365,26.01303175,7.506515873,0.0011,60.02606349,131.3234571,0.070061015,148.0610194,148.062805,0.184675783,0.170530961,0.170530961,0,0.00001,0.00001,2.377530691,0,0,0.126202376,152516.1539,33083.16331,0.004972591,0.027723065,8.38E-07,0.142464865,2.887124181,0.001620444,0.009128478,7.674994217,0.000203084,6941.659063,7.37524E-05,0.015560273,2.24158E-06,0,2.24158E-06,6.54802E-06,11.29402473,2.8391,148.0645931,2.882723852,2.37753E-05,0,0.170519802,0.184666713,2.8391,0.90307513,0.379837423,1.409743154,1,0,0,0.55,40024.82237,0.415535147,0.000173214,2398.962996,3.041550542
3.75,0.958182319,0.018,0.138456296,41.65308065,3246.471656,41.65308065,22.90919435,34.48377859,2.61488115,365,12.71229138,365,365,26.01433994,7.507169971,0.0011,60.02867988,131.3258119,0.070716575,148.0619119,148.0636988,0.184675783,0.170529569,0.170529569,0,0.00001,0.00001,2.60329353,0,0,0.13654098,154025.4574,33091.20745,0.004971633,0.027732281,8.38E-07,0.1425,2.890804977,0.0016205,0.009193503,7.692016437,0.000203116,6936.106727,7.90204E-05,0.015550751,0.000002242,0,0.000002242,7.1698E-06,11.28969408,2.83975,148.0654881,2.886427849,2.60329E-05,0,0.170518402,0.184665197,2.83975,0.995487251,0.382395316,1.408834742,1,0,0,0.55,40027.31417,0.415668419,0.000173278,2398.859112,3.041661295
4,1.027964179,0.018,0.138761125,41.78641924,3251.157628,41.78641924,22.98253058,34.44979212,2.789880398,365,12.71341347,365,365,26.01564904,7.507824522,0.0011,60.03129809,131.3281683,0.071370969,148.062805,148.0645931,0.184675783,0.170528177,0.170528177,0,0.00001,0.00001,2.852158834,0,0,0.146521013,155527.0212,33099.20187,0.004970675,0.027741456,8.38E-07,0.142535135,2.894485774,0.001620557,0.009258194,7.708951367,0.000203148,6930.605829,8.42884E-05,0.01554134,2.24242E-06,0,2.24242E-06,7.85521E-06,11.28588063,2.8404,148.0663837,2.890131846,2.85216E-05,0,0.170517002,0.184663681,2.8404,1.098106528,0.385008898,1.407936429,1,0,0,0.55,40029.8077,0.415801671,0.000173341,2398.755195,3.041772049
4.25,1.095284343,0.018,0.13906438,41.92202599,3255.8586,41.92202599,23.05711429,34.41607222,2.96495942,365,12.71453635,365,365,26.01695907,7.508479537,0.0011,60.03391815,131.3305263,0.072024161,148.0636988,148.0654881,0.184675783,0.170526784,0.170526784,0,0.00001,0.00001,3.126678336,0,0,0.156154985,157020.8363,33107.14655,0.004969718,0.027750591,8.38E-07,0.14257027,2.898166571,0.001620613,0.009322552,7.725798906,0.000203179,6925.156452,8.95565E-05,0.01553204,2.24284E-06,0,2.24284E-06,8.60788E-06,11.28260878,2.84105,148.0672799,2.893835843,3.12668E-05,0,0.170515601,0.184662163,2.84105,1.212107654,0.387666246,1.407048236,1,0,0,0.55,40032.303,0.415934905,0.000173404,2398.651244,3.041882802
4.5,1.160229323,0.018,0.139366061,42.06740752,3260.574828,42.06740752,23.13707414,34.38261917,3.140117425,365,12.71566005,365,365,26.01827006,7.509135028,0.0011,60.03654011,131.3328861,0.072676112,148.0645931,148.0663837,0.184675783,0.170525389,0.170525389,0,0.00001,0.00001,3.429697433,0,0,0.165454973,158506.8946,33115.04143,0.00496876,0.027759685,8.38E-07,0.142605405,2.901847367,0.001620669,0.009386575,7.742558961,0.000203211,6919.758681,9.48245E-05,0.015522852,2.24326E-06,0,2.24326E-06,9.39821E-06,11.27967281,2.8417,148.0681768,2.89753984,3.4297E-05,0,0.170514199,0.184660644,2.8417,1.339638003,0.390599471,1.406170185,1,0,0,0.55,40034.80011,0.41606812,0.000173467,2398.547261,3.041993555
4.75,1.22288261,0.018,0.139666166,42.21202946,3265.307411,42.21202946,23.2166162,34.34943301,3.315353624,365,12.71678456,365,365,26.01958199,7.509790994,0.0011,60.03916398,131.3352476,0.073326787,148.0654881,148.0672799,0.184675783,0.170523994,0.170523994,0,0.00001,0.00001,3.764598359,0,0,0.174432636,159985.1884,33122.88647,0.004967802,0.027768739,8.38E-07,0.142640541,2.905516179,0.001620725,0.009450264,7.759231448,0.000203242,6914.412551,0.000100093,0.015513774,2.24369E-06,0,2.24369E-06,1.02717E-05,11.27738688,2.84235,148.0690743,2.901241977,3.7646E-05,0,0.170512795,0.184659124,2.84235,1.48270746,0.393855418,1.405302289,1,0,0,0.55,40037.29903,0.416201316,0.00017353,2398.443244,3.042104308
5,1.28332478,0.018,0.139964693,42.35589117,3270.056265,42.35589117,23.29574014,34.31651414,3.490667225,365,12.71790993,365,365,26.02089491,7.510447456,0.0011,60.04178983,131.3376108,0.073976148,148.0663837,148.0681768,0.184675783,0.170522597,0.170522597,0,0.00001,0.00001,4.135265813,0,0,0.18309923,161455.7113,33130.68166,0.004966844,0.027777752,8.38E-07,0.142675676,2.909182327,0.001620782,0.009513618,7.775816293,0.000203274,6909.118173,0.000105361,0.015504808,2.24411E-06,0,2.24411E-06,1.12385E-05,11.27581999,2.843,148.0699726,2.904943701,4.13527E-05,0,0.170511391,0.184657604,2.843,1.64370304,0.397484252,1.404444575,1,0,0,0.55,40039.79983,0.416334493,0.000173593,2398.339193,3.042215061
5.25,1.341633595,0.018,0.140261642,42.49899206,3274.821302,42.49899206,23.37444564,34.28386305,3.666057437,365,12.71903618,365,365,26.02220888,7.511104441,0.0011,60.04441776,131.339976,0.074624159,148.0672799,148.0690743,0.184674274,0.1705212,0.1705212,0,1.03917E-05,1.03917E-05,4.546181234,0,0,0.191465618,162918.4574,33138.42695,0.004965887,0.027786725,8.39E-07,0.142710811,2.912848476,0.001620838,0.009576637,7.79231343,0.000203306,6903.875679,0.000110629,0.015495954,2.24453E-06,0,2.24453E-06,1.23102E-05,11.27505173,2.84365,148.0708715,2.908645424,4.72425E-05,0,0.170509986,0.184656082,2.84365,1.825318294,0.401505835,1.403597074,1,0,0,0.55,40042.30263,0.416467651,0.000173656,2398.23511,3.042325814
5.5,1.397884103,0.018,0.14055701,42.63197797,3279.602439,42.63197797,23.44758788,34.25148035,3.841523469,365,12.72016339,365,365,26.02352396,7.51176198,0.0011,60.04704792,131.3423431,0.075270786,148.0681768,148.0699726,0.184672764,0.170519802,0.170519802,0,0.000256347,0.000256347,5.002498997,0,0,0.199542289,164373.4216,33146.12232,0.004964929,0.027795656,8.39E-07,0.142745946,2.916514624,0.001620894,0.009639321,7.8087228,0.000203337,6898.685218,0.000115897,0.015487213,2.24495E-06,0,2.24495E-06,1.35004E-05,11.2751736,2.8443,148.0717712,2.912347148,0.001282375,0,0.17050858,0.184654559,2.8443,2.026862854,0.405170067,1.402759823,1,0,0,0.55,40044.80754,0.41660079,0.000173719,2398.130993,3.042436567
5.75,1.452148729,0.018,0.140850798,42.73446243,3284.398536,42.73446243,23.50395433,34.21968755,4.008577847,365,12.72129162,365,365,26.02484022,7.512420111,0.0011,60.04968045,131.3447124,0.075915994,148.0690743,148.0708715,0.184671253,0.170518402,0.170518402,0,0.000529892,0.000529892,5.508894117,0,0,0.207336886,165527.5283,33153.76775,0.004964017,0.027804427,8.39E-07,0.142779374,2.920180772,0.001620948,0.009701669,7.825044356,0.000203367,6893.54696,0.000120909,0.015478443,2.24535E-06,0,2.24535E-06,1.48211E-05,11.27624944,2.844918416,148.0726716,2.916048872,0.002919118,0,0.170507172,0.184653035,2.844918416,2.254934117,0.409326095,1.401922275,1,0,0,0.55,40047.31471,0.416726563,0.000173779,2398.026843,3.042541938
6,1.504496148,0.018,0.141143005,42.81663076,3289.206163,42.81663076,23.54914692,34.18900813,4.153066516,365,12.72242094,365,365,26.02615776,7.51307888,0.0011,60.05231552,131.347084,0.076559747,148.0699726,148.0717712,0.184669741,0.170517002,0.170517002,0,0.000839544,0.000839544,6.071897867,0,0,0.214854461,166452.8493,33161.36541,0.00496323,0.027812837,8.39E-07,0.142808249,2.92384692,0.001620994,0.009763682,7.841278057,0.000203393,6888.458895,0.000125238,0.015469405,2.2457E-06,0,2.2457E-06,1.62895E-05,11.27836016,2.845452607,148.073573,2.919750596,0.005097624,0,0.170505764,0.184651509,2.845452607,2.518477336,0.414775971,1.401066421,1,0,0,0.55,40049.82431,0.416832724,0.000173831,2397.922661,3.042632959
6.25,1.554990714,0.018,0.14143363,42.89835424,3294.023034,42.89835424,23.59409483,34.15855772,4.297615541,365,12.72355143,365,365,26.02747667,7.513738337,0.0011,60.05495335,131.349458,0.077202012,148.0708715,148.0726716,0.184668227,0.170515601,0.170515601,0,0.004332404,0.004332404,6.700242794,0,0,0.222110402,167373.1607,33168.92116,0.004962443,0.027821213,8.39E-07,0.142837124,2.927513069,0.00162104,0.009825359,7.857423872,0.000203419,6883.415365,0.000129568,0.015460464,2.24605E-06,0,2.24605E-06,1.78747E-05,11.28133203,2.845986798,148.0744753,2.92345232,0.029028156,0,0.170504354,0.184649983,2.845986798,2.820101217,0.420895377,1.400219363,1,0,0,0.55,40052.33652,0.416938871,0.000173883,2397.818453,3.042723979
6.5,1.603697831,0.018,0.141722672,42.97963277,3298.849099,42.97963277,23.63879802,34.12833708,4.442224375,365,12.72468318,365,365,26.02879704,7.514398521,0.0011,60.05759408,131.3518347,0.077842755,148.0717712,148.073573,0.184666713,0.170514199,0.170514199,0,0.015512487,0.015512487,7.398011059,0,0,0.229113893,168288.4613,33176.43496,0.004961656,0.027829554,8.39E-07,0.142865999,2.931179217,0.001621086,0.0098867,7.873481776,0.000203445,6878.416543,0.000133897,0.01545162,2.24639E-06,0,2.24639E-06,1.96187E-05,11.28545324,2.846520989,148.0753786,2.927154044,0.114761548,0,0.170502943,0.184648455,2.846520989,3.161266979,0.427313092,1.399381138,1,0,0,0.55,40054.85151,0.417045002,0.000173934,2397.714218,3.042814999
6.75,1.650680608,0.018,0.142010132,43.06046624,3303.684308,43.06046624,23.68325643,34.09834729,4.58689247,365,12.72581627,365,365,26.03011898,7.515059489,0.0011,60.06023796,131.3542142,0.078481944,148.0726716,148.0744753,0.184665197,0.170512795,0.170512795,0,0.049024046,0.049024046,8.159637417,0,0,0.235873799,169198.7501,33183.90681,0.004960869,0.027837862,8.39E-07,0.142894875,2.934845365,0.001621133,0.009947706,7.889451756,0.000203471,6873.46267,0.000138226,0.015442873,2.24674E-06,0,2.24674E-06,2.15223E-05,11.29072743,2.84705518,148.076283,2.930855767,0.400018443,0,0.17050153,0.184646926,2.84705518,3.527052614,0.432256047,1.3985518,1,0,0,0.55,40057.36948,0.417151118,0.000173986,2397.609957,3.04290602
7,1.695999938,0.018,0.142296008,43.14195851,3308.52861,43.14195851,23.72807718,34.06877212,4.726764253,365,12.7269508,365,365,26.0314426,7.515721302,0.0011,60.06288521,131.3565967,0.079119546,148.073573,148.0753786,0.184663681,0.170511391,0.170511391,0,0.091776778,0.091776778,8.94139596,0,0,0.242397016,170104.0267,33191.33669,0.004960108,0.027846066,8.39E-07,0.142922774,2.938380617,0.001621177,0.010008375,7.905333802,0.000203496,6868.553989,0.00014241,0.015434144,2.24707E-06,0,2.24707E-06,2.34762E-05,11.29639151,2.847571324,148.0771885,2.934578579,0.82061251,0,0.170500116,0.184645396,2.847571324,3.909590568,0.437246106,1.397725374,1,0,0,0.55,40059.89068,0.41725302,0.000174036,2397.505669,3.042993965
7.25,1.739713939,0.018,0.142580303,43.23003167,3313.382081,43.23003167,23.77651742,34.03949102,4.864871184,365,12.7280868,365,365,26.03276794,7.516383969,0.0011,60.06553588,131.3589823,0.079755529,148.0744753,148.076283,0.184662163,0.170509986,0.170509986,0,0.141100271,0.141100271,9.713640474,0,0,0.248692643,171004.2913,33198.72583,0.004959358,0.027854211,8.39E-07,0.142950308,2.941866783,0.001621221,0.010068709,7.921127918,0.000203521,6863.689295,0.000146538,0.015425481,2.2474E-06,0,2.2474E-06,2.5534E-05,11.30281791,2.848080699,148.0780952,2.938309298,1.370597306,0,0.1704987,0.184643863,2.848080699,4.295775193,0.442241527,1.396905395,1,0,0,0.55,40062.41512,0.417353334,0.000174086,2397.401356,3.043080757
7.5,1.781879111,0.018,0.142863014,43.31761455,3318.245459,43.31761455,23.824688,34.01043371,5.003033057,365,12.72922433,365,365,26.03409505,7.517047525,0.0011,60.0681901,131.3613711,0.080389862,148.0753786,148.0771885,0.184660644,0.17050858,0.17050858,0,0.179577138,0.179577138,10.44493495,0,0,0.25476923,171899.5443,33206.07469,0.004958607,0.027862323,8.39E-07,0.142977842,2.945352948,0.001621266,0.010128706,7.936834111,0.000203546,6858.868262,0.000150666,0.015416912,2.24773E-06,0,2.24773E-06,2.75934E-05,11.30930642,2.848590074,148.0790031,2.942040017,1.87567152,0,0.170497282,0.184642329,2.848590074,4.668756694,0.446987628,1.396094063,1,0,0,0.55,40064.94295,0.417453633,0.000174135,2397.297017,3.043167549
7.75,1.822550212,0.018,0.143144143,43.40470723,3323.118691,43.40470723,23.87258898,33.98159997,5.14124937,365,12.73036336,365,365,26.03542392,7.517711959,0.0011,60.07084783,131.3637631,0.081022513,148.076283,148.0780952,0.184659124,0.170507172,0.170507172,0,0.211871988,0.211871988,11.14320624,0,0,0.260634478,172789.7868,33213.38327,0.004957857,0.027870402,8.39E-07,0.143005376,2.948839114,0.00162131,0.010188368,7.952452399,0.000203571,6854.090861,0.000154795,0.015408438,2.24806E-06,0,2.24806E-06,2.95598E-05,11.31520928,2.849099449,148.0799122,2.945770736,2.360933263,0,0.170495862,0.184640794,2.849099449,5.027069378,0.451133118,1.395291374,1,0,0,0.55,40067.47413,0.417553917,0.000174185,2397.192654,3.043254341
8,1.861780072,0.018,0.143423691,43.49130987,3328.00172,43.49130987,23.92022043,33.95298873,5.279519623,365,12.7315038,365,365,26.03675443,7.518377217,0.0011,60.07350887,131.366158,0.081653452,148.0771885,148.0790031,0.184657604,0.170505764,0.170505764,0,0.245671929,0.245671929,11.80974027,0,0,0.26629582,173675.02,33220.65155,0.004957106,0.027878449,8.39E-07,0.143032909,2.952322856,0.001621354,0.010247694,7.967982807,0.000203595,6849.356901,0.000158923,0.015400059,2.24839E-06,0,2.24839E-06,3.14369E-05,11.32055256,2.849608824,148.0808225,2.949501845,2.901321673,0,0.170494441,0.184639256,2.849608824,5.365863466,0.454359143,1.394497293,1,0,0,0.55,40070.00845,0.417654186,0.000174234,2397.088265,3.043341133
8.25,1.899619663,0.018,0.143701657,43.57742264,3332.894493,43.57742264,23.96758245,33.924599,5.417843316,365,12.73264557,365,365,26.0380865,7.51904325,0.0011,60.076173,131.3685557,0.08228265,148.0780952,148.0799122,0.184656082,0.170504354,0.170504354,0,0.259068312,0.259068312,12.42587572,0,0,0.271760431,174555.2459,33227.87952,0.004956356,0.027886462,8.39E-07,0.143060443,2.955795689,0.001621398,0.010306685,7.983425367,0.00020362,6844.666197,0.000163051,0.015391774,2.24873E-06,0,2.24873E-06,3.31828E-05,11.32505151,2.850118199,148.0817338,2.953234712,3.219150643,0,0.170493018,0.184637716,2.850118199,5.682865389,0.457341238,1.393711785,1,0,0,0.55,40072.54571,0.417754441,0.000174283,2396.983852,3.043427925
8.5,1.936118166,0.018,0.143978042,43.66304576,3337.796953,43.66304576,24.01467517,33.89642941,5.556219947,365,12.73378855,365,365,26.03941998,7.519709988,0.0011,60.07883995,131.370956,0.082910076,148.0790031,148.0808225,0.184654559,0.170502943,0.170502943,0,0.270292198,0.270292198,13.0418044,0,0,0.277035231,175430.4667,33235.06717,0.004955605,0.027894442,8.39E-07,0.143087977,2.959268523,0.001621442,0.01036534,7.998780118,0.000203645,6840.018495,0.000167179,0.015383583,2.24906E-06,0,2.24906E-06,3.54664E-05,11.33328309,2.850627574,148.082646,2.956967579,3.525097979,0,0.170491592,0.184636175,2.850627574,6.010202233,0.460841311,1.392934802,1,0,0,0.55,40075.08567,0.417854681,0.000174333,2396.879413,3.043514717
8.75,1.971323028,0.018,0.144252848,43.74817951,3342.709046,43.74817951,24.06149873,33.86848427,5.694649017,365,12.73493314,365,365,26.04075533,7.520377664,0.0011,60.08151066,131.3733596,0.08350193,148.0799122,148.0817338,0.184653035,0.17050153,0.17050153,0,0.279757581,0.279757581,13.66308047,0,0,0.282126902,176300.6853,33242.21451,0.004954854,0.027902389,8.39E-07,0.143115511,2.962741356,0.001621486,0.010419446,8.01404711,0.00020367,6835.414684,0.000171308,0.015375487,2.24939E-06,0,2.24939E-06,3.77698E-05,11.34170138,2.851136949,148.0835596,2.960700445,3.822350342,0,0.170490166,0.184634631,2.851136949,6.352767024,0.464958619,1.392166528,1,0,0,0.55,40077.6292,0.417954907,0.000174382,2396.77495,3.043601509
